Wavelength (nm)	Reflectance
200	0.4605309
201	0.4661467
202	0.5197799
203	0.5879694
204	0.6460365
205	0.686249
206	0.7089651
207	0.7160696
208	0.7086085
209	0.6863681
210	0.6483859
211	0.586262
212	0.5129568
213	0.4555607
214	0.4481939
215	0.4942991
216	0.5619313
217	0.623622
218	0.6684892
219	0.6955998
220	0.7066479
221	0.7029931
222	0.6848806
223	0.6514782
224	0.6022753
225	0.5405089
226	0.4784246
227	0.4368918
228	0.4348077
229	0.4706148
230	0.5249843
231	0.5782082
232	0.6212545
233	0.6514405
234	0.6693215
235	0.6759095
236	0.6719586
237	0.657882
238	0.6338269
239	0.5993841
240	0.5554413
241	0.5063505
242	0.4593823
243	0.4266713
244	0.4202855
245	0.4436109
246	0.4884574
247	0.541678
248	0.592248
249	0.634723
250	0.6673575
251	0.69011
252	0.7042884
253	0.7106397
254	0.709758
255	0.7018636
256	0.687089
257	0.6654997
258	0.6371765
259	0.6035313
260	0.5672942
261	0.5337488
262	0.5084908
263	0.4999761
264	0.5117049
265	0.5406361
266	0.5786077
267	0.6189702
268	0.6559969
269	0.6875526
270	0.7123385
271	0.730279
272	0.7422573
273	0.7485352
274	0.7494563
275	0.7452892
276	0.7361737
277	0.7219942
278	0.7025089
279	0.6775793
280	0.6474868
281	0.6129306
282	0.5757606
283	0.5392268
284	0.5076972
285	0.485685
286	0.4762264
287	0.4802669
288	0.4942174
289	0.5151078
290	0.5383814
291	0.5616072
292	0.5826733
293	0.6007153
294	0.6152047
295	0.6259873
296	0.6331103
297	0.6366197
298	0.6366431
299	0.6332259
300	0.6262334
301	0.6156254
302	0.6013453
303	0.5833526
304	0.5615202
305	0.5359435
306	0.5069472
307	0.4750159
308	0.4411005
309	0.4066376
310	0.3734781
311	0.3441089
312	0.320774
313	0.3055949
314	0.299837
315	0.3037511
316	0.3164929
317	0.3362945
318	0.3609954
319	0.3883539
320	0.4164634
321	0.4436517
322	0.4690001
323	0.4918777
324	0.5119132
325	0.5289027
326	0.5426844
327	0.5534429
328	0.561266
329	0.5661976
330	0.5683201
331	0.5677185
332	0.5644124
333	0.558419
334	0.5497624
335	0.5384976
336	0.5247319
337	0.508426
338	0.4896922
339	0.468743
340	0.4459166
341	0.4217007
342	0.3966526
343	0.3716263
344	0.3476661
345	0.3259281
346	0.3076179
347	0.2939008
348	0.2857163
349	0.2836488
350	0.287869
351	0.2979845
