wl,n,k,Calculated from the cauchy_equation workbook
0.4,1.443927876,0,
0.401,1.443799623,0,
0.402,1.443672319,0,
0.403,1.443545955,0,
0.404,1.443420521,0,
0.405,1.443296008,0,
0.406,1.443172408,0,
0.407,1.443049711,0,
0.408,1.442927908,0,
0.409,1.442806991,0,
0.41,1.442686952,0,
0.411,1.442567781,0,
0.412,1.442449471,0,
0.413,1.442332014,0,
0.414,1.4422154,0,
0.415,1.442099623,0,
0.416,1.441984674,0,
0.417,1.441870545,0,
0.418,1.441757229,0,
0.419,1.441644717,0,
0.42,1.441533003,0,
0.421,1.441422078,0,
0.422,1.441311936,0,
0.423,1.441202569,0,
0.424,1.441093969,0,
0.425,1.44098613,0,
0.426,1.440879045,0,
0.427,1.440772706,0,
0.428,1.440667106,0,
0.429,1.44056224,0,
0.43,1.440458099,0,
0.431,1.440354678,0,
0.432,1.44025197,0,
0.433,1.440149968,0,
0.434,1.440048666,0,
0.435,1.439948057,0,
0.436,1.439848135,0,
0.437,1.439748894,0,
0.438,1.439650328,0,
0.439,1.43955243,0,
0.44,1.439455195,0,
0.441,1.439358617,0,
0.442,1.439262689,0,
0.443,1.439167406,0,
0.444,1.439072763,0,
0.445,1.438978753,0,
0.446,1.43888537,0,
0.447,1.43879261,0,
0.448,1.438700467,0,
0.449,1.438608935,0,
0.45,1.438518009,0,
0.451,1.438427684,0,
0.452,1.438337954,0,
0.453,1.438248814,0,
0.454,1.438160259,0,
0.455,1.438072284,0,
0.456,1.437984884,0,
0.457,1.437898053,0,
0.458,1.437811788,0,
0.459,1.437726082,0,
0.46,1.437640932,0,
0.461,1.437556332,0,
0.462,1.437472277,0,
0.463,1.437388764,0,
0.464,1.437305787,0,
0.465,1.437223342,0,
0.466,1.437141424,0,
0.467,1.437060029,0,
0.468,1.436979152,0,
0.469,1.43689879,0,
0.47,1.436818936,0,
0.471,1.436739589,0,
0.472,1.436660742,0,
0.473,1.436582392,0,
0.474,1.436504535,0,
0.475,1.436427166,0,
0.476,1.436350283,0,
0.477,1.436273879,0,
0.478,1.436197952,0,
0.479,1.436122498,0,
0.48,1.436047512,0,
0.481,1.435972991,0,
0.482,1.435898931,0,
0.483,1.435825328,0,
0.484,1.435752179,0,
0.485,1.435679479,0,
0.486,1.435607225,0,
0.487,1.435535414,0,
0.488,1.435464041,0,
0.489,1.435393104,0,
0.49,1.435322598,0,
0.491,1.435252521,0,
0.492,1.435182868,0,
0.493,1.435113637,0,
0.494,1.435044824,0,
0.495,1.434976425,0,
0.496,1.434908438,0,
0.497,1.434840858,0,
0.498,1.434773683,0,
0.499,1.43470691,0,
0.5,1.434640535,0,
0.501,1.434574555,0,
0.502,1.434508968,0,
0.503,1.434443769,0,
0.504,1.434378956,0,
0.505,1.434314526,0,
0.506,1.434250476,0,
0.507,1.434186802,0,
0.508,1.434123503,0,
0.509,1.434060575,0,
0.51,1.433998014,0,
0.511,1.433935819,0,
0.512,1.433873986,0,
0.513,1.433812513,0,
0.514,1.433751397,0,
0.515,1.433690635,0,
0.516,1.433630224,0,
0.517,1.433570162,0,
0.518,1.433510445,0,
0.519,1.433451072,0,
0.52,1.43339204,0,
0.521,1.433333346,0,
0.522,1.433274987,0,
0.523,1.433216962,0,
0.524,1.433159266,0,
0.525,1.433101899,0,
