wl,n,k
0.3,1.552770264,0
0.322,1.545869929,0
0.344,1.540446687,0
0.366,1.536090528,0
0.388,1.532527732,0
0.41,1.529568767,0
0.432,1.527078429,0
0.454,1.524957846,0
0.476,1.523133174,0
0.498,1.521548253,0
0.52,1.520159688,0
0.542,1.518933478,0
0.564,1.517842648,0
0.586,1.516865557,0
0.608,1.515984669,0
0.63,1.515185645,0
0.652,1.51445666,0
0.674,1.51378789,0
0.696,1.513171112,0
0.718,1.512599402,0
0.74,1.512066895,0
0.762,1.51156859,0
0.784,1.511100206,0
0.806,1.510658057,0
0.828,1.510238956,0
0.85,1.509840135,0
0.872,1.50945918,0
0.894,1.509093978,0
0.916,1.508742673,0
0.938,1.508403627,0
0.96,1.508075392,0
0.982,1.507756683,0
1.004,1.507446357,0
1.026,1.507143392,0
1.048,1.506846874,0
1.07,1.506555982,0
1.092,1.506269979,0
1.114,1.505988198,0
1.136,1.505710037,0
1.158,1.50543495,0
1.18,1.505162442,0
1.202,1.50489206,0
1.224,1.504623394,0
1.246,1.504356065,0
1.268,1.50408973,0
1.29,1.503824072,0
1.312,1.503558798,0
1.334,1.503293642,0
1.356,1.503028354,0
1.378,1.502762706,0
1.4,1.502496485,0
1.422,1.502229493,0
1.444,1.501961547,0
1.466,1.501692477,0
1.488,1.501422121,0
1.51,1.501150331,0
1.532,1.500876967,0
1.554,1.500601898,0
1.576,1.500324999,0
1.598,1.500046155,0
1.62,1.499765255,0
1.642,1.499482196,0
1.664,1.499196879,0
1.686,1.498909211,0
1.708,1.498619104,0
1.73,1.498326472,0
1.752,1.498031236,0
1.774,1.497733318,0
1.796,1.497432645,0
1.818,1.497129146,0
1.84,1.496822753,0
1.862,1.4965134,0
1.884,1.496201026,0
1.906,1.495885568,0
1.928,1.495566968,0
1.95,1.49524517,0
1.972,1.494920117,0
1.994,1.494591757,0
2.016,1.494260036,0
2.038,1.493924904,0
2.06,1.49358631,0
2.082,1.493244207,0
2.104,1.492898546,0
2.126,1.49254928,0
2.148,1.492196363,0
2.17,1.49183975,0
2.192,1.491479396,0
2.214,1.491115257,0
2.236,1.490747289,0
2.258,1.49037545,0
2.28,1.489999697,0
2.302,1.489619988,0
2.324,1.48923628,0
2.346,1.488848531,0
2.368,1.488456702,0
2.39,1.488060749,0
2.412,1.487660633,0
2.434,1.487256312,0
2.456,1.486847745,0
2.478,1.486434891,0
2.5,1.48601771,0
