wl,n,k
0.185,1.499306453,3.41E-05
0.2112,1.460616531,2.77E-05
0.2373,1.437471265,1.03E-05
0.2635,1.42222713,7.72E-06
0.2896,1.41164483,9.69E-06
0.3158,1.403906938,1.79E-06
0.3419,1.398098499,6.36E-07
0.3681,1.393584252,1.92E-07
0.3942,1.390024925,1.45E-07
0.4204,1.387144115,1.34E-07
0.4465,1.384793683,1.20E-07
0.4727,1.382834801,9.27E-08
0.4988,1.381195399,6.33E-08
0.525,1.379798229,8.10E-08
0.5511,1.378605488,8.45E-08
0.5773,1.377570738,6.52E-08
0.6034,1.376673064,6.48E-08
0.6296,1.375882801,6.52E-08
0.6557,1.375187941,5.85E-08
0.6819,1.374568574,5.82E-08
0.708,1.374017648,6.02E-08
0.7342,1.373521241,1.11E-07
0.7603,1.373075171,7.15E-08
0.7865,1.372669355,8.42E-08
0.8126,1.372301336,9.21E-08
0.8388,1.371963585,1.11E-07
0.8649,1.371654705,1.71E-07
0.8911,1.371368921,3.94E-07
0.9172,1.371105505,4.63E-07
0.9434,1.370859916,4.07E-07
0.9695,1.370631853,4.51E-07
0.9957,1.370417667,8.02E-07
1.022,1.370215845,9.37E-07
1.048,1.370027858,7.88E-07
1.074,1.369850064,6.72E-07
1.1,1.369681341,5.59E-07
1.126,1.369520689,8.42E-07
1.153,1.369361442,3.25E-06
1.179,1.369214568,1.29E-05
1.205,1.369073312,5.02E-06
1.231,1.368937018,4.80E-06
1.257,1.368805089,3.88E-06
1.283,1.368676977,2.18E-06
1.309,1.368552178,1.95E-06
1.336,1.368425586,3.02E-06
1.362,1.368306131,1.12E-05
1.388,1.368188669,1.48E-05
1.414,1.368072816,2.15E-05
1.44,1.367958212,2.54E-05
1.466,1.367844512,3.48E-05
1.493,1.36772704,4.19E-05
1.519,1.367614166,4.14E-05
1.545,1.367501219,4.39E-05
1.571,1.36738789,5.05E-05
1.597,1.367273877,4.42E-05
1.623,1.367158875,3.13E-05
1.649,1.367042581,2.60E-05
1.676,1.366920113,0.000112392
1.702,1.366800219,7.38E-05
1.728,1.366678071,9.01E-05
1.754,1.366553335,5.84E-05
1.78,1.366425661,3.53E-05
1.806,1.366294681,4.52E-05
1.832,1.366160011,3.48E-05
1.859,1.366015814,2.39E-05
1.885,1.365872319,2.94E-05
1.911,1.365723797,3.62E-05
1.937,1.36556974,3.40E-05
1.963,1.365409597,3.36E-05
1.989,1.365242769,4.85E-05
2.016,1.365061746,6.28E-05
2.042,1.364879191,0.000115465
2.068,1.364687748,0.000196839
2.094,1.364486533,0.000210576
2.12,1.36427456,0.000176941
2.146,1.364050727,0.000137053
2.172,1.363813797,0.000123949
2.199,1.363552392,0.00011613
2.225,1.363284237,0.000121722
2.251,1.362998125,0.000369948
2.277,1.362691979,0.000541663
2.303,1.362363406,0.000955398
2.329,1.362009633,0.000627982
2.355,1.361627433,0.000423511
2.382,1.361196376,0.000308428
2.408,1.360743759,0.000572345
2.434,1.360248906,0.000529416
2.46,1.359705386,0.000678739
2.486,1.359105411,0.000504085
2.512,1.35843946,0.000267616
2.539,1.357665418,0.000265445
2.565,1.356825352,0.000266021
2.591,1.355873334,0.000296574
2.617,1.35478509,0.00031119
2.643,1.353528811,0.000280649
2.669,1.352061975,0.000209967
2.695,1.350326424,0.000264236
2.722,1.348151768,0.000565491
2.748,1.345575713,0.00118419
2.774,1.34234337,0.00197515
2.8,1.338166615,0.00343636
