wl,n,k
0.4,1.374026019,0
0.404,1.372461229,0
0.408,1.370942237,0
0.412,1.369467272,0
0.416,1.368034649,0
0.42,1.366642763,0
0.424,1.365290084,0
0.428,1.363975153,0
0.432,1.362696578,0
0.436,1.361453032,0
0.44,1.360243247,0
0.444,1.359066011,0
0.448,1.357920167,0
0.452,1.356804609,0
0.456,1.355718278,0
0.46,1.354660164,0
0.464,1.353629296,0
0.468,1.352624747,0
0.472,1.35164563,0
0.476,1.350691092,0
0.48,1.349760319,0
0.484,1.348852526,0
0.488,1.347966965,0
0.492,1.347102915,0
0.496,1.346259685,0
0.5,1.345436612,0
0.504,1.344633058,0
0.508,1.34384841,0
0.512,1.343082081,0
0.516,1.342333504,0
0.52,1.341602135,0
0.524,1.340887452,0
0.528,1.340188949,0
0.532,1.339506143,0
0.536,1.338838567,0
0.54,1.33818577,0
0.544,1.337547321,0
0.548,1.336922801,0
0.552,1.336311808,0
0.556,1.335713955,0
0.56,1.335128867,0
0.564,1.334556183,0
0.568,1.333995556,0
0.572,1.333446649,0
0.576,1.332909138,0
0.58,1.332382709,0
0.584,1.331867061,0
0.588,1.3313619,0
0.592,1.330866944,0
0.596,1.33038192,0
0.6,1.329906564,0
0.604,1.329440621,0
0.608,1.328983844,0
0.612,1.328535994,0
0.616,1.32809684,0
0.62,1.327666159,0
0.624,1.327243733,0
0.628,1.326829353,0
0.632,1.326422817,0
0.636,1.326023926,0
0.64,1.325632492,0
0.644,1.325248328,0
0.648,1.324871257,0
0.652,1.324501105,0
0.656,1.324137702,0
0.66,1.323780888,0
0.664,1.323430502,0
0.668,1.323086391,0
0.672,1.322748407,0
0.676,1.322416406,0
0.68,1.322090245,0
0.684,1.32176979,0
0.688,1.321454908,0
0.692,1.321145471,0
0.696,1.320841354,0
0.7,1.320542435,0
0.704,1.320248596,0
0.708,1.319959724,0
0.712,1.319675707,0
0.716,1.319396437,0
0.72,1.319121808,0
0.724,1.318851719,0
0.728,1.318586069,0
0.732,1.318324762,0
0.736,1.318067704,0
0.74,1.317814804,0
0.744,1.317565971,0
0.748,1.31732112,0
0.752,1.317080166,0
0.756,1.316843026,0
0.76,1.31660962,0
0.764,1.316379871,0
0.768,1.316153703,0
0.772,1.31593104,0
0.776,1.315711813,0
0.78,1.315495949,0
0.784,1.315283381,0
0.788,1.315074042,0
0.792,1.314867866,0
0.796,1.314664791,0
0.8,1.314464755,0
