wl,n,k
0.25157,2.31717213,0.577801613
0.25316,2.33168536,0.569701795
0.25475,2.34626565,0.560078808
0.25634,2.36067795,0.548891345
0.25793,2.37467908,0.536140733
0.25952,2.38802531,0.521875087
0.26112,2.40048438,0.506187696
0.26271,2.41184546,0.489213773
0.2643,2.42192779,0.471124947
0.26589,2.43058781,0.45212117
0.26748,2.43772396,0.432420532
0.26907,2.44327819,0.412249024
0.27067,2.44723468,0.391831658
0.27226,2.4496167,0.371382518
0.27385,2.4504812,0.351098957
0.27544,2.44991257,0.331155243
0.27703,2.44801587,0.311700698
0.27862,2.4449101,0.292857499
0.28022,2.44072204,0.274721021
0.28181,2.43558114,0.257362168
0.2834,2.42961505,0.240828823
0.28499,2.42294624,0.225148714
0.28658,2.41568999,0.210333132
0.28818,2.40795253,0.196379165
0.28977,2.3998302,0.18327257
0.29136,2.39140949,0.170990928
0.29295,2.38276689,0.159505232
0.29454,2.37396931,0.148782004
0.29614,2.3650748,0.138784873
0.29773,2.35613305,0.129475706
0.29932,2.34718664,0.120816056
0.30091,2.33827137,0.11276749
0.3025,2.32941721,0.105292332
0.30409,2.32064883,0.09835399
0.30569,2.31198686,0.091917673
0.30728,2.30344754,0.085949858
0.30887,2.29504418,0.080419113
0.31046,2.28678728,0.075295824
0.31205,2.27868456,0.070551991
0.31365,2.27074208,0.066161671
0.31524,2.26296411,0.062100598
0.31683,2.25535349,0.058346198
0.31842,2.24791192,0.054877501
0.32001,2.24064001,0.051675005
0.32161,2.23353796,0.048720778
0.3232,2.22660502,0.045998066
0.32479,2.21984006,0.043491409
0.32638,2.21324163,0.041186494
0.32797,2.20680801,0.039070076
0.32957,2.20053745,0.037129922
0.33116,2.19442784,0.035354624
0.33275,2.18847739,0.0337337
0.33434,2.18268445,0.032257432
0.33593,2.17704736,0.030916746
0.33752,2.17156519,0.029703307
0.33912,2.16623741,0.028609316
0.34071,2.16106461,0.027627539
0.3423,2.1560493,0.026751236
0.34389,2.15119877,0.025974095
0.34548,2.14653759,0.025274872
0.34708,2.14204552,0.024600679
0.34867,2.13769101,0.023947157
0.35026,2.13345877,0.023313787
0.35185,2.12933779,0.022699992
0.35344,2.12531947,0.022105197
0.35504,2.12139667,0.021528824
