wl,n,k
0.45,1.333019898,0
0.461,1.332308171,0
0.472,1.331651959,0
0.483,1.331045647,0
0.494,1.330484263,0
0.5051,1.32995884,0
0.5161,1.329474907,0
0.5271,1.32902408,0
0.5381,1.328603267,0
0.5491,1.328209709,0
0.5601,1.327840942,0
0.5711,1.327494761,0
0.5821,1.327169186,0
0.5931,1.326862443,0
0.6041,1.326572933,0
0.6152,1.326296795,0
0.6262,1.326037696,0
0.6372,1.325791902,0
0.6482,1.32555835,0
0.6592,1.325336074,0
0.6702,1.325124198,0
0.6812,1.324921923,0
0.6922,1.324728522,0
0.7032,1.324543329,0
0.7142,1.32436574,0
0.7253,1.324193678,0
0.7363,1.32402973,0
0.7473,1.323871849,0
0.7583,1.323719606,0
0.7693,1.323572604,0
0.7803,1.32343048,0
0.7913,1.3232929,0
0.8023,1.323159551,0
0.8133,1.323030149,0
0.8243,1.322904428,0
0.8354,1.322781044,0
0.8464,1.322661992,0
0.8574,1.322545932,0
0.8684,1.322432668,0
0.8794,1.322322018,0
0.8904,1.322213809,0
0.9014,1.322107883,0
0.9124,1.322004092,0
0.9234,1.321902297,0
0.9344,1.321802368,0
0.9455,1.3217033,0
0.9565,1.321606761,0
0.9675,1.321511747,0
0.9785,1.321418156,0
0.9895,1.321325896,0
1.001,1.321230768,0
1.012,1.32114096,0
1.023,1.32105223,0
1.034,1.320964504,0
1.045,1.320877714,0
1.056,1.320791795,0
1.067,1.320706685,0
1.078,1.320622326,0
1.089,1.320538664,0
1.1,1.320455646,0
1.111,1.320373224,0
1.122,1.320291352,0
1.133,1.320209985,0
1.144,1.320129081,0
1.155,1.320048602,0
1.166,1.31996851,0
1.177,1.319888768,0
1.188,1.319809344,0
1.199,1.319730205,0
1.21,1.319651321,0
1.221,1.319572663,0
1.232,1.319494202,0
1.243,1.319415913,0
1.254,1.31933777,0
1.265,1.31925975,0
1.276,1.31918183,0
1.287,1.319103987,0
1.298,1.319026202,0
1.309,1.318948453,0
1.32,1.318870723,0
1.331,1.318792993,0
1.342,1.318715246,0
1.353,1.318637464,0
1.364,1.318559633,0
1.375,1.318481737,0
1.386,1.318403762,0
1.397,1.318325693,0
1.408,1.318247516,0
1.419,1.318169221,0
1.43,1.318090793,0
1.441,1.318012221,0
1.452,1.317933494,0
1.463,1.317854601,0
1.474,1.317775532,0
1.485,1.317696275,0
1.496,1.317616823,0
1.507,1.317537164,0
1.518,1.317457292,0
1.529,1.317377196,0
1.54,1.317296868,0
1.551,1.317216302,0
