wl,n,k
0.4765,1.366515026,0
0.48,1.36630801,0
0.4836,1.366099916,0
0.4871,1.365902164,0
0.4906,1.365708774,0
0.4942,1.365514275,0
0.4977,1.365329346,0
0.5012,1.365148405,0
0.5048,1.364966335,0
0.5083,1.364793137,0
0.5119,1.364618801,0
0.5154,1.364452907,0
0.5189,1.364290462,0
0.5225,1.364126874,0
0.526,1.363971136,0
0.5295,1.363818568,0
0.5331,1.363664857,0
0.5366,1.363518458,0
0.5401,1.363374977,0
0.5437,1.363230359,0
0.5472,1.363092563,0
0.5507,1.362957458,0
0.5543,1.362821226,0
0.5578,1.362691368,0
0.5613,1.362563995,0
0.5649,1.36243551,0
0.5684,1.362312989,0
0.5719,1.362192767,0
0.5755,1.362071449,0
0.579,1.361955719,0
0.5826,1.361838905,0
0.5861,1.361727444,0
0.5896,1.36161801,0
0.5932,1.361507512,0
0.5967,1.36140204,0
0.6002,1.361298452,0
0.6038,1.36119382,0
0.6073,1.361093915,0
0.6108,1.360995761,0
0.6144,1.360896586,0
0.6179,1.36080186,0
0.6214,1.360708765,0
0.625,1.360614672,0
0.6285,1.360524772,0
0.632,1.360436393,0
0.6356,1.360347039,0
0.6391,1.360261641,0
0.6426,1.360177663,0
0.6462,1.360092734,0
0.6497,1.360011542,0
0.6533,1.359929414,0
0.6568,1.359850884,0
0.6603,1.359773623,0
0.6639,1.359695452,0
0.6674,1.359620684,0
0.6709,1.359547105,0
0.6745,1.359472638,0
0.678,1.359401395,0
0.6815,1.359331266,0
0.6851,1.359260273,0
0.6886,1.359192336,0
0.6921,1.359125444,0
0.6957,1.359057711,0
0.6992,1.358992877,0
0.7027,1.358929026,0
0.7063,1.358864355,0
0.7098,1.358802438,0
0.7133,1.358741445,0
0.7169,1.358679655,0
0.7204,1.358620481,0
0.724,1.358560525,0
0.7275,1.358503098,0
0.731,1.358446508,0
0.7346,1.358389156,0
0.7381,1.358334213,0
0.7416,1.358280057,0
0.7452,1.35822516,0
0.7487,1.358172558,0
0.7522,1.358120699,0
0.7558,1.358068119,0
0.7593,1.358017726,0
0.7628,1.357968035,0
0.7664,1.357917643,0
0.7699,1.357869337,0
0.7734,1.357821695,0
0.777,1.357773371,0
0.7805,1.357727038,0
0.784,1.357681332,0
0.7876,1.357634964,0
0.7911,1.357590498,0
0.7947,1.357545381,0
0.7982,1.357502109,0
0.8017,1.35745941,0
0.8053,1.357416078,0
0.8088,1.35737451,0
0.8123,1.357333486,0
0.8159,1.357291847,0
0.8194,1.357251895,0
0.8229,1.357212459,0
0.8265,1.357172424,0
0.83,1.357134006,0
