wl,n,k,Calculated from the cauchy_equation workbook
0.4,1.775148813,0,
0.401,1.774339436,0,
0.402,1.773538216,0,
0.403,1.772745046,0,
0.404,1.771959821,0,
0.405,1.771182437,0,
0.406,1.770412792,0,
0.407,1.769650785,0,
0.408,1.768896318,0,
0.409,1.768149293,0,
0.41,1.767409615,0,
0.411,1.766677189,0,
0.412,1.765951923,0,
0.413,1.765233724,0,
0.414,1.764522504,0,
0.415,1.763818174,0,
0.416,1.763120646,0,
0.417,1.762429836,0,
0.418,1.761745657,0,
0.419,1.761068027,0,
0.42,1.760396865,0,
0.421,1.759732089,0,
0.422,1.75907362,0,
0.423,1.75842138,0,
0.424,1.757775292,0,
0.425,1.75713528,0,
0.426,1.756501268,0,
0.427,1.755873185,0,
0.428,1.755250956,0,
0.429,1.754634511,0,
0.43,1.754023778,0,
0.431,1.75341869,0,
0.432,1.752819177,0,
0.433,1.752225173,0,
0.434,1.75163661,0,
0.435,1.751053424,0,
0.436,1.750475551,0,
0.437,1.749902926,0,
0.438,1.749335487,0,
0.439,1.748773174,0,
0.44,1.748215924,0,
0.441,1.747663679,0,
0.442,1.747116379,0,
0.443,1.746573966,0,
0.444,1.746036383,0,
0.445,1.745503573,0,
0.446,1.744975481,0,
0.447,1.744452053,0,
0.448,1.743933233,0,
0.449,1.743418969,0,
0.45,1.742909208,0,
0.451,1.742403899,0,
0.452,1.741902989,0,
0.453,1.74140643,0,
0.454,1.740914171,0,
0.455,1.740426163,0,
0.456,1.739942358,0,
0.457,1.739462708,0,
0.458,1.738987168,0,
0.459,1.738515689,0,
0.46,1.738048227,0,
0.461,1.737584736,0,
0.462,1.737125173,0,
0.463,1.736669492,0,
0.464,1.736217653,0,
0.465,1.73576961,0,
0.466,1.735325323,0,
0.467,1.73488475,0,
0.468,1.734447851,0,
0.469,1.734014584,0,
0.47,1.733584911,0,
0.471,1.733158791,0,
0.472,1.732736186,0,
0.473,1.732317058,0,
0.474,1.731901369,0,
0.475,1.731489082,0,
0.476,1.73108016,0,
0.477,1.730674568,0,
0.478,1.730272268,0,
0.479,1.729873227,0,
0.48,1.729477409,0,
0.481,1.729084779,0,
0.482,1.728695305,0,
0.483,1.728308952,0,
0.484,1.727925687,0,
0.485,1.727545479,0,
0.486,1.727168294,0,
0.487,1.726794101,0,
0.488,1.726422868,0,
0.489,1.726054565,0,
0.49,1.725689161,0,
0.491,1.725326627,0,
0.492,1.724966931,0,
0.493,1.724610045,0,
0.494,1.72425594,0,
0.495,1.723904587,0,
0.496,1.723555958,0,
0.497,1.723210025,0,
0.498,1.722866761,0,
0.499,1.722526137,0,
0.5,1.722188128,0,
0.501,1.721852707,0,
0.502,1.721519847,0,
0.503,1.721189522,0,
0.504,1.720861708,0,
0.505,1.720536379,0,
0.506,1.720213509,0,
0.507,1.719893075,0,
0.508,1.719575052,0,
0.509,1.719259415,0,
0.51,1.718946142,0,
0.511,1.718635209,0,
0.512,1.718326592,0,
0.513,1.718020269,0,
0.514,1.717716218,0,
0.515,1.717414415,0,
0.516,1.717114839,0,
0.517,1.716817467,0,
0.518,1.71652228,0,
0.519,1.716229255,0,
0.52,1.715938371,0,
0.521,1.715649607,0,
0.522,1.715362944,0,
0.523,1.71507836,0,
0.524,1.714795836,0,
0.525,1.714515352,0,
0.526,1.714236889,0,
0.527,1.713960426,0,
0.528,1.713685946,0,
0.529,1.713413428,0,
0.53,1.713142856,0,
0.531,1.712874209,0,
0.532,1.712607471,0,
0.533,1.712342622,0,
0.534,1.712079645,0,
0.535,1.711818523,0,
0.536,1.711559238,0,
0.537,1.711301774,0,
0.538,1.711046112,0,
0.539,1.710792236,0,
0.54,1.710540131,0,
0.541,1.710289778,0,
0.542,1.710041163,0,
0.543,1.709794269,0,
0.544,1.70954908,0,
0.545,1.70930558,0,
0.546,1.709063755,0,
0.547,1.708823588,0,
0.548,1.708585065,0,
0.549,1.708348171,0,
0.55,1.708112891,0,
0.551,1.70787921,0,
0.552,1.707647114,0,
0.553,1.707416588,0,
0.554,1.707187619,0,
0.555,1.706960192,0,
0.556,1.706734294,0,
0.557,1.706509911,0,
0.558,1.706287029,0,
0.559,1.706065635,0,
0.56,1.705845716,0,
0.561,1.705627258,0,
0.562,1.70541025,0,
0.563,1.705194677,0,
0.564,1.704980528,0,
0.565,1.704767789,0,
0.566,1.704556449,0,
0.567,1.704346495,0,
0.568,1.704137915,0,
0.569,1.703930697,0,
0.57,1.70372483,0,
0.571,1.703520301,0,
0.572,1.703317099,0,
0.573,1.703115212,0,
0.574,1.702914629,0,
0.575,1.70271534,0,
0.576,1.702517332,0,
0.577,1.702320594,0,
0.578,1.702125117,0,
0.579,1.701930889,0,
0.58,1.701737899,0,
0.581,1.701546137,0,
0.582,1.701355593,0,
0.583,1.701166256,0,
0.584,1.700978116,0,
0.585,1.700791163,0,
0.586,1.700605387,0,
0.587,1.700420778,0,
0.588,1.700237326,0,
0.589,1.700055022,0,
0.59,1.699873855,0,
0.591,1.699693818,0,
0.592,1.699514899,0,
0.593,1.69933709,0,
0.594,1.699160382,0,
0.595,1.698984765,0,
0.596,1.698810231,0,
0.597,1.698636771,0,
0.598,1.698464375,0,
0.599,1.698293036,0,
0.6,1.698122744,0,
0.601,1.697953491,0,
0.602,1.697785268,0,
0.603,1.697618067,0,
0.604,1.69745188,0,
0.605,1.697286699,0,
0.606,1.697122515,0,
0.607,1.696959321,0,
0.608,1.696797107,0,
0.609,1.696635868,0,
0.61,1.696475594,0,
0.611,1.696316278,0,
0.612,1.696157912,0,
