Wavelength (nm)	Reflectance
500	0.0224492
501	0.025129
502	0.0276692
503	0.0299099
504	0.0317159
505	0.0329832
506	0.0336452
507	0.033668
508	0.0330572
509	0.0318541
510	0.0301318
511	0.02801
512	0.0255986
513	0.0230323
514	0.0204533
515	0.0180027
516	0.0158117
517	0.0139986
518	0.0126569
519	0.0118518
520	0.0116167
521	0.0119522
522	0.0128169
523	0.0141508
524	0.0158698
525	0.0178718
526	0.0200418
527	0.0222629
528	0.0244185
529	0.0263998
530	0.0281104
531	0.0294591
532	0.0304058
533	0.0309123
534	0.0309612
535	0.0305556
536	0.029721
537	0.0284961
538	0.026938
539	0.0251172
540	0.0231144
541	0.0210405
542	0.0189622
543	0.0169659
544	0.0151335
545	0.0135388
546	0.0122441
547	0.0112981
548	0.0107334
549	0.0105654
550	0.0107924
551	0.0113924
552	0.0123296
553	0.0135569
554	0.0150172
555	0.0166451
556	0.018371
557	0.0201238
558	0.0218335
559	0.0234345
560	0.0248672
561	0.0260719
562	0.0270204
563	0.0276827
564	0.0280392
565	0.0280816
566	0.0278121
567	0.0272433
568	0.0263976
569	0.0253056
570	0.0240059
571	0.0225591
572	0.0209998
573	0.0193781
574	0.0177458
575	0.0161542
576	0.0146524
577	0.013286
578	0.0120955
579	0.011115
580	0.0103715
581	0.0098863
582	0.0096628
583	0.0097022
584	0.0099972
585	0.0105328
586	0.0112884
587	0.0122341
588	0.0133367
589	0.0145589
590	0.0158609
591	0.0171932
592	0.018524
593	0.0198146
594	0.0210288
595	0.0221336
596	0.0230998
597	0.0239031
598	0.0245238
599	0.0249479
600	0.0251667
601	0.0251781
602	0.0249873
603	0.0246012
604	0.0240313
605	0.0232933
606	0.0224087
607	0.021398
608	0.0202864
609	0.0191011
610	0.0178706
611	0.0166299
612	0.0154018
613	0.0142143
614	0.0130938
615	0.0120646
616	0.0111502
617	0.0103679
618	0.0097332
619	0.0092578
620	0.0089494
621	0.0088134
622	0.0088452
623	0.0090405
624	0.0093915
625	0.0098871
626	0.0105118
627	0.0112502
628	0.0120836
629	0.0129914
630	0.0139521
631	0.014937
632	0.0159308
633	0.0169124
634	0.0178613
635	0.0187586
636	0.0195884
637	0.0203332
638	0.0209795
639	0.0215156
640	0.0219327
641	0.0222223
642	0.0223835
643	0.0224149
644	0.0223172
645	0.0220934
646	0.0217509
647	0.0212948
648	0.0207343
649	0.02008
650	0.0193443
651	0.0185477
652	0.017698
653	0.0168098
654	0.0158981
655	0.0149781
656	0.0140649
657	0.0131732
658	0.012317
659	0.0115098
660	0.0107638
661	0.010096
662	0.0095091
663	0.009011
664	0.0086083
665	0.0083057
666	0.0081051
667	0.0080091
668	0.0080172
669	0.0081275
670	0.0083361
671	0.0086364
672	0.0090223
673	0.0094863
674	0.0100195
675	0.0106124
676	0.0112547
677	0.0119357
678	0.0126441
679	0.0133688
680	0.0140984
681	0.0148183
682	0.0155221
683	0.0161997
684	0.0168418
685	0.0174397
686	0.0179839
687	0.0184691
688	0.0188893
689	0.0192396
690	0.0195158
691	0.0197156
692	0.0198372
693	0.0198798
694	0.0198435
695	0.0197296
696	0.0195402
697	0.0192783
698	0.0189477
699	0.0185531
700	0.0180997
